path,git_status,classification,owner_source,phase_relevance,contains_runtime_data,contains_secret_risk,recommended_action,rationale
.superpowers/sdd/task-4-report.md,M,GENERATED_NONDETERMINISTIC,PROMPT2_SDD_AGENT,A2_B1_SUPPORT,false,false,EXCLUDE_FROM_CANDIDATE,Internal agent report; not a named release input.
.superpowers/sdd/task-5-report.md,M,GENERATED_NONDETERMINISTIC,PROMPT2_SDD_AGENT,A2_B1_SUPPORT,false,false,EXCLUDE_FROM_CANDIDATE,Internal agent report; not a named release input.
alembic/versions/0005_job_plane_role_split.py,??,INTENDED_JOB_PLANE_CHANGE,PROMPT2_A2_B1,A2_B1,false,false,APPLY_REVIEWED_PATCH,Explicit Prompt2 migration path.
apps/dashboard/src/app/api/trading/run/route.ts,M,INTENDED_JOB_PLANE_CHANGE,PROMPT2_A2_B1,A2_B1,false,false,APPLY_REVIEWED_PATCH,Explicit Prompt2 retry-stable BFF path.
apps/dashboard/src/app/dashboard/execution/page.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/app/dashboard/layout.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/app/dashboard/page.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/app/dashboard/settings/page.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/components/trading/data-source-status.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/components/trading/exchange-status-card.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
apps/dashboard/src/components/trading/mode-toggle.tsx,M,INTENDED_JOB_PLANE_CHANGE,PROMPT1_A0_A1,A0_A1_PREREQUISITE,false,false,APPLY_REVIEWED_PATCH,Explicit frozen Prompt1 prerequisite path.
