area,v1.227.0,v1.231.0,trading_agent_impact,required_action,promotion_gate,source
Release identity,v1.227.0 / 280ae1762df51a492a4ce71506a40b5c8706def5,v1.231.0 / 27a8e54e7ac3c57d6cbf8891f0283dfbaee97317,New tag object and release assets must be pinned,P1-U02 provenance authority,BLOCK until exact provenance passes,https://github.com/nautechsystems/nautilus_trader/releases/tag/v1.231.0
Release posture,Active 1.x beta,Intended final Cython-v1 1.x,Use as final-v1 bridge; schedule v2 separately,ADR and runtime-family boundary,P1 must not import v2,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
Commit delta,Base,"1,482 commits ahead",Large semantic surface despite mostly v2 work,P1-U01 impact ledger + P1-U07 dual run,No unexplained drift,https://github.com/nautechsystems/nautilus_trader/compare/v1.227.0...v1.231.0
Python ABI,">=3.12,<3.15",">=3.12,<3.15",Compatible with current isolated CPython 3.12,Retain CPython 3.12,Import/native probe,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/pyproject.toml
Rust MSRV,1.95.0,1.97.1,Current private toolchain is insufficient,New candidate-only Rust toolchain,Exact offline identity,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/Cargo.toml
Cython,3.2.4,3.2.9,Current build-wheel cache is stale,Regenerate exact build cache,No ambient fallback,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/pyproject.toml
poetry-core,2.3.1,2.3.1,No change,Keep exact pin,Manifest equality,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/pyproject.toml
setuptools,>=82 / local 82.0.1,>=83,Candidate build cache must choose an exact reviewed version,Pin exact wheel,Reject range/extra wheel,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/pyproject.toml
Runtime dependencies,"pyarrow 23+, pandas <3, older fsspec/pytz/tqdm","pyarrow 25+, pandas <4, fsspec 2026.2, newer pytz + tzdata",Runtime closure changes even if P1 uses a small subset,Resolve full exact wheel set,Sealed import probe,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/pyproject.toml
BacktestEngine module,Cython v1 path present,Cython v1 path present,Direct import survives; implementation changed,Source contract + native probe,All invoked methods executable,https://github.com/nautechsystems/nautilus_trader/blob/v1.231.0/nautilus_trader/backtest/engine.pyx
FeeModel/FillModel,Package/declarations present,Package/declarations present; fee implementation changed,Custom fee model must be requalified,Subclass/native commission tests,Exact fee and commission side,https://github.com/nautechsystems/nautilus_trader/tree/v1.231.0/nautilus_trader/backtest/models
Reset/account state,Known pre-fix behavior,"FX retention, duplicate-account-state and calculated-state fixes",Directly affects reusable sessions and event truth,Release-regression scenarios,No duplicate/stale state,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
NETTING/PnL,Known pre-fix behavior,"PositionId-cycle, foreign-currency and duplicate-realized-PnL fixes",Directly affects reducer parity,Close/reopen and post-run parity fixtures,PnL exactly once,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
Venue/session robustness,Pre-fix,"Registration rollback, leverage validation, generated ID and reset sequencing fixes",Relevant to session assembly/reuse,Negative and restart tests,No stale/colliding state,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
Nautilus event_store,v1.227 format,v1.230 format incompatible with v1.227-v1.229,P1 uses project engine-event ledger; hidden use still must be disproved,Pin inventory and import scan,No Nautilus event_store dependency,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
V2 features,Not present as primary runtime,Many new v2 features and fixes,Not a reason to mix runtimes in P1,Separate future runtime_v2 program,No v2 import/build in P1,https://github.com/nautechsystems/nautilus_trader/blob/develop/RELEASES.md
