ID,Severity,Domain,Title,Evidence,Package,Dependencies,Acceptance,Tests,Rollback,StoryPoints
REL-001,P0,Release,Seed offline dependency closure,Host release test cannot find anyio 4.14.1 offline,01,,make test-runtime-release-host exits 0; no network; no source-tree imports,"release test, tamper test",Remove staged cache/wheelhouse and revert release tooling,5
REL-002,P0,Release,Prove release reproducibility,Host-coupled release is not yet proven,01,REL-001,Two clean builds have stable logical manifest,double-build comparison,Discard release candidates,5
DB-001,P0,PostgreSQL,Create approved disposable PostgreSQL fixture,Runtime parity is PENDING_APPROVAL,02,,Approval validator pass; runtime targets rejected,approval and isolation tests,Cleanup disposable cluster,3
DB-002,P0,PostgreSQL,Run migration 0008 runtime parity,Migration 0008 only has source proof,02,DB-001,make test-event-ledger-runtime-postgres exits 0,runtime PG tests,Drop disposable DB/cluster,8
DB-003,P0,PostgreSQL,Run runtime repository and dual-read parity,PostgreSQL behavior not proven against canonical reads,02,DB-002,make test-runtime-postgres and make test-runtime-dual-read exit 0,parity suite,Cleanup disposable cluster,5
TEST-001,P1,Testing,Create skipped-test inventory,226 root tests skipped without one canonical inventory,03,,Every skip categorized and owned,skip governance test,Revert allowlist tooling,5
TEST-002,P1,Testing,Fail CI on unapproved skips,New skips can silently accumulate,03,TEST-001,New unknown skip fails CI,CI fixture tests,Disable governance target,3
TEST-003,P1,Coverage,Add critical branch coverage gates,No coverage threshold for safety-critical modules,03,,Critical coverage measured and ratcheted,coverage tests,Revert coverage config,5
SEC-001,P1,Security,Exclude live entrypoints from canonical paper release,Legacy source retains live-capable execution path,04,REL-001,Built paper artifact cannot resolve live commands,artifact inspection tests,Restore prior packaging rules,8
SEC-002,P1,Security,Prove paper child environment excludes trading credentials,Paper safety relies on multiple gates,04,SEC-001,Credential variables absent; gates forced false,environment tests,Revert env allowlist,3
MAINT-001,P2,Maintainability,Inventory broad exception and fallback paths,Legacy modules can silently fallback,05,,All critical broad fallbacks classified,static + focused tests,Revert source-only fixes,5
MAINT-002,P2,Maintainability,Replace critical silent fallbacks with typed failures,Silent fallback can hide stale/invalid data,05,MAINT-001,No false success/freshness on failure,failure-path tests,Revert typed error changes,8
MAINT-003,P2,Warnings,Remove current deprecation/module warnings,Warnings reduce future failure visibility,05,,Target warnings removed; CI green,warning-as-error focused tests,Revert scoped dependency/code changes,3
RUN-001,P1,Runtime,Run one controlled paper SNAPSHOT through immutable job plane,No end-to-end paper runtime proof in assessment,06,"REL-001,DB-003,SEC-002","One job, one sealed artifact, valid events, queue idle",runtime smoke and rollback,Stop API/worker; preserve evidence,8
AUDIT-001,P1,Audit,Reassess foundation from fresh evidence,Score above 90 is only estimated,07,"REL-002,DB-003,TEST-002,TEST-003,SEC-002,MAINT-002,RUN-001",New independent scorecard created from command output,full CI and assessment,N/A,3
