path,git_status,classification,source_sha256_or_NOT_READ,destination,owning_task,include,reviewer_decision
apps/dashboard/package-lock.json, M,PACKAGE_A_TASK_2_INPUT,4729ace1014543f511a4045b3e802840118da322af4d373ca16d9c0fb47cf447,apps/dashboard/package-lock.json,TASK_2,deferred,INCLUDE_IN_CANDIDATE
apps/dashboard/package.json, M,PACKAGE_A_TASK_2_INPUT,f75f575f228d038d93b7aa831386aaa7490f50adbc950da3f5e961c1d8e1a674,apps/dashboard/package.json,TASK_2,deferred,INCLUDE_IN_CANDIDATE
apps/job_api/config.py, M,PACKAGE_A_TASK_3_INPUT,4f5a4fbabe67d6b47a42b12f258e97a5fab9f76d5c70a0f211b175a61f7a7e3a,apps/job_api/config.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
docs/production/release-authority-v2.md, M,PACKAGE_A_TASK_3_INPUT,2707b0a431e556b97a278247ee2d4a458a21350e5ae409891e9e061b5a2ae3f0,docs/production/release-authority-v2.md,TASK_3,deferred,INCLUDE_IN_CANDIDATE
ops/release-v2/build-stage.sh, M,PACKAGE_A_TASK_3_INPUT,d78a6e345d8490c9c25403e4bbebe303391db888dbd4dbab08f26bf01543be0e,ops/release-v2/build-stage.sh,TASK_3,deferred,INCLUDE_IN_CANDIDATE
ops/release-v2/provision-root.sh, M,PACKAGE_A_TASK_3_INPUT,811169ef5850d1ea44fb5f381e4848f33cb98bcb57eb40715c627ecbfce8fb1a,ops/release-v2/provision-root.sh,TASK_3,deferred,INCLUDE_IN_CANDIDATE
ops/release-v2/verify-stage.py, M,PACKAGE_A_TASK_3_INPUT,43527dd2c0f0c11c722c93c0cc28e1c92637d275489ed4925d338ca5534747cd,ops/release-v2/verify-stage.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
ops/systemd/job-api.env.example, M,SECRET_RISK,NOT_READ,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_SECRET_RISK_NOT_READ
packages/runtime_release/v2.py, M,PACKAGE_A_TASK_3_INPUT,63a65b1bce09ed4374483a10d937fb7e6933bd547a643ed58009956764d70f9b,packages/runtime_release/v2.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
services/job_store/repository.py, M,PACKAGE_A_TASK_3_INPUT,63529cb873c9862345369e67bb886d7d6ad1539831032b0486c80041f591c929,services/job_store/repository.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
services/job_store/worker_repository.py, M,PACKAGE_A_TASK_3_INPUT,1880eabd500fdab9daf4f29821f9a696cd421686fd2c8cda0fb0f49f715eb913,services/job_store/worker_repository.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
services/job_worker/main.py, M,PACKAGE_A_TASK_3_INPUT,a915cd10bb5ef32ee10dc3fdf2efa088e43a7243563bcc285918ecdeaaa07caf,services/job_worker/main.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/control_api/test_alembic_schema.py, M,PACKAGE_A_TASK_3_INPUT,a10e649a7ee456a94db5ecb3cbd79cad139ef099ad238871ff5998938cee7960,tests/control_api/test_alembic_schema.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_contracts.py, M,PACKAGE_A_TASK_2_INPUT,421bda0adf2ef06fa606483f82b74777e65ff37812937248463e46831c6217b5,tests/jobs/test_contracts.py,TASK_2,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_job_api.py, M,PACKAGE_A_TASK_3_INPUT,91f97799aa789d2da063980fe37b75d3389029b917acc406aedfa4ed66a13b86,tests/jobs/test_job_api.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_job_api_auth.py, M,PACKAGE_A_TASK_3_INPUT,a293f7948ac9dc3d7b3a8b1f7df5f1398f7381d1cb99542aeb55b2bad3940fb0,tests/jobs/test_job_api_auth.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_job_api_security.py, M,PACKAGE_A_TASK_3_INPUT,8a424c963cbe396bf688a1eb8b6bc8b0cc161ee36f5ed7802f8c897e3aeacffe,tests/jobs/test_job_api_security.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_job_role_permissions.py, M,PACKAGE_A_TASK_3_INPUT,8a53ca3363089939f96e9b68acf2c6571b3a72d6f86b182d5ad536b8b8cecd7d,tests/jobs/test_job_role_permissions.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_repository_cancel_acl.py, M,PACKAGE_A_TASK_3_INPUT,0c5240bac62d078a9de8193ee86244e402ae09386fea21be03f0268d529094f2,tests/jobs/test_repository_cancel_acl.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_repository_enqueue.py, M,PACKAGE_A_TASK_3_INPUT,467f425bd3e8b295356b71bff0ddeaaec41e7185cf8cc0a33d16c14218d5f5af,tests/jobs/test_repository_enqueue.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_repository_queries.py, M,PACKAGE_A_TASK_3_INPUT,adf05b08bb32a26cb388b5f7dfd16e7cfdd342ed2bb7c5864a14729af9e3e9fa,tests/jobs/test_repository_queries.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_repository_transactions.py, M,PACKAGE_A_TASK_3_INPUT,1ed146bd74dbaa7b4afad926822e8f59d67c057585058bb8ea2c1c26972b999c,tests/jobs/test_repository_transactions.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_systemd_units.py, M,PACKAGE_A_TASK_3_INPUT,75b4b7677f8dc643f994b9d9388667fba53bcaa1e5d10d96e661fec653d4ccfa,tests/jobs/test_systemd_units.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_worker_claims.py, M,PACKAGE_A_TASK_3_INPUT,407bb7103f63407acac85f488a0c95100ebe429900bb421f88ccd66c771f5f56,tests/jobs/test_worker_claims.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_worker_leases.py, M,PACKAGE_A_TASK_3_INPUT,da4fc3abb38ce9a3a2b902a63b507ba0ca7de883cb3c7036917286293f13b039,tests/jobs/test_worker_leases.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_worker_lifecycle.py, M,PACKAGE_A_TASK_3_INPUT,67718fca980c874126c3bbaf299f4530597a77861a08f05f0b79eb66822c1e42,tests/jobs/test_worker_lifecycle.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/jobs/test_worker_recovery.py, M,PACKAGE_A_TASK_3_INPUT,ba4f85a73ccbfb01204c94cfe7bff076ee77b3bb4e78b7688c17598aa630f287,tests/jobs/test_worker_recovery.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/runtime_release/test_v2.py, M,PACKAGE_A_TASK_3_INPUT,a06fffc5a047f3228756d8af5103852b6cdbbf1e5ff4d6d80d1ec1804c7eb9e9,tests/runtime_release/test_v2.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
tests/runtime_release/test_v2_provisioning.py, M,PACKAGE_A_TASK_3_INPUT,97f250d1fa726c7bcc0bcd45ac1d37eb2b41fc125fb0f59ab51c02b45b68f4dd,tests/runtime_release/test_v2_provisioning.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
alembic/versions/0006_job_transition_database_authority.py,??,PACKAGE_A_TASK_3_INPUT,f4cadfc5683ff49038790afc7fac2632fe207073b1b0eecbf296147fdcceb2fd,alembic/versions/0006_job_transition_database_authority.py,TASK_3,deferred,INCLUDE_IN_CANDIDATE
docs/adr/ADR-job-transition-database-authority-v2.md,??,UNRELATED_USER_CHANGE,add5d0a5bfd3460d1e2b33b1171f54263402c07cb61b784120a3e25b6a417cc8,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/adr/ADR-job-transition-database-authority.md,??,PACKAGE_A_TASK_3_INPUT,be5c06315a53e9496403bcf6e49cadf1042d3f6e778b30716e4bed9b0c3ea388,docs/adr/ADR-job-transition-database-authority.md,TASK_3,deferred,INCLUDE_IN_CANDIDATE
docs/implementation/job-plane-0006-exhaustive-audit.md,??,UNRELATED_USER_CHANGE,66da98860a0eb31a34ffc999628b88ef888fb5f07e9238e23deb50ff2febb4eb,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-authority-preparation-final.md,??,UNRELATED_USER_CHANGE,8cc4fb70171ff530a5f1b914b17402797304bbe7b117f0d096be2bd413643966,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-clean-candidate-v3.md,??,UNRELATED_USER_CHANGE,e5b4f86d5eae7dcbb98ea955d61479fb15770523fbe426346387272fc1af5b2e,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-dashboard-dependency-repair.md,??,PACKAGE_A_TASK_2_INPUT,c39582ffea32af9d8cf22aa2e9cfd020104062f3bbf85e73522c2e963d18ea31,docs/implementation/job-plane-dashboard-dependency-repair.md,TASK_2,deferred,INCLUDE_IN_CANDIDATE
docs/implementation/job-plane-event-chain-verification.md,??,UNRELATED_USER_CHANGE,00c0ed0185f472125094728761ae680d5d0a3869bfef7817ec5766196d8fbd17,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-hermetic-python-design.md,??,UNRELATED_USER_CHANGE,689a48cd6c5db6d185d010d1f79eec5b3c24f6275ed601532cd5fd0a0eab4617,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-release-v2-hermetic-candidate.md,??,UNRELATED_USER_CHANGE,9d0b882d5fcbeee717b6cafd2a7657a89d55aa70b65950e7ba142666c285418e,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-reproducibility-evidence.md,??,UNRELATED_USER_CHANGE,57eee6c2e3f6983fab7eb997b594a5164671a15d1ca5901b6a8ce3d9ad67dda3,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-residual-risks-v3.md,??,UNRELATED_USER_CHANGE,46f0dcf8ddd0e79cb91405072f1c3f311d60ad2398c52af8f434b5298bcf6667,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-systemd-staging-verification.md,??,UNRELATED_USER_CHANGE,720f78e7723b9d213c36f0ee31c9af2bb00145557739f3969de2c8fe5db2f32a,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-tamper-evidence.md,??,UNRELATED_USER_CHANGE,698677e0e8e13faf40b44aa66756e6b6ded50600ac909233334baaf1ee08fe05,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/job-plane-wheelhouse-closure.md,??,UNRELATED_USER_CHANGE,b11edc438e23d4a49802187fd96c28f8451025af342d58ab0bc1409f154c79bf,NOT_TRANSFERRED,OUT_OF_SCOPE,no,EXCLUDED_OUT_OF_SCOPE
docs/implementation/postgres-recovery-approval-review.md,??,APPROVAL_TOOLING_OR_PLAN,4768faf0a096d41fba3c975a34dc4eb50f7b03f95e69a18135340a29f3c0a02f,docs/implementation/postgres-recovery-approval-review.md,TASK_1,yes,APPROVED_INCLUDE
docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/00-index-and-common-gates.md,??,APPROVAL_TOOLING_OR_PLAN,bef3fb8f34d821360d788aa67640712246e10aa445553a0c30bea26b0cac56fb,docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/00-index-and-common-gates.md,TASK_1,yes,APPROVED_INCLUDE
docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/01-package-a-clean-source-baseline.md,??,APPROVAL_TOOLING_OR_PLAN,1fab751610057b2d666a7e430e7626ed79ed4ac72160c97661cc082ef0fbe760,docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/01-package-a-clean-source-baseline.md,TASK_1,yes,APPROVED_INCLUDE
docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/02-package-b-database-authority.md,??,APPROVAL_TOOLING_OR_PLAN,9132f6979ac0b268663763582bd901a5bd98f6470006b19e4b93c9ec08cd9ef4,docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/02-package-b-database-authority.md,TASK_1,yes,APPROVED_INCLUDE
docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/03-package-c-backend-provenance.md,??,APPROVAL_TOOLING_OR_PLAN,106021d7f208a12e02756edc707902140ef85b60b65d2727a6f31628101c2819,docs/superpowers/plans/2026-07-16-job-plane-blocker-closure-packages/03-package-c-backend-provenance.md,TASK_1,yes,APPROVED_INCLUDE
