task_id,milestone,title,depends_on,parallel_wave,primary_agent,primary_model,primary_reasoning,spec_reviewer_model,spec_reviewer_reasoning,security_reviewer_model,security_reviewer_reasoning,files_owned,verification_summary,commit_message
P1-U00,MU0 — Upgrade bootstrap,Freeze the 1.227 rollback baseline and inventory every engine pin,None,0,Repository Baseline and Pin Inventory Lead,gpt-5.6-terra,high,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,docs/implementation/p1-real-nautilus/upgrade/1.227-rollback-baseline.md; docs/implementation/p1-real-nautilus/upgrade/pin-inventory.json; scripts/inventory_nautilus_pins.py; tests/governance/test_nautilus_pin_inventory.py,"Seed a fake `1.227.0` pin in a fixture and prove the inventory test fails until classified.; Run `make check-p0-baseline`, `make check-p0-maintainability`, and portable CI.; The inventory has zero `UNKNOWN` entries and includes every policy named by `engines/nautilus/README.md`.; Rollback baseline is reproducible and immutable.; No runtime policy or active pin changed.; Every later upgrade task cites the inventory record it owns.",docs(p1u): freeze Nautilus 1.227 rollback baseline
P1-U01,MU0 — Upgrade bootstrap,Create the v1.227-to-v1.231 upstream delta and direct API impact ledger,P1-U00,1,Nautilus API and Release Delta Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,docs/implementation/p1-real-nautilus/upgrade/v1.227-to-v1.231-impact.md; docs/implementation/p1-real-nautilus/upgrade/direct-api-contract.json; tests/nautilus_upgrade/test_direct_api_contract_source.py,"The source test fails when any existing direct import is absent from the contract.; Every `BEHAVIOR_REQUALIFY` item maps to a later executable test in P1-U05/U06/U07.; No v2-only feature is used to justify a v1 runtime change.; The API ledger is complete enough to generate the import probe without hand-selected omissions.; Unknown or ambiguous upstream changes remain blockers, not assumed-compatible entries.; The v2 migration is explicitly out of scope for P1.",docs(p1u): map Nautilus 1.231 API and semantic delta
P1-U02,MU1 — Supply-chain rebaseline,Establish immutable v1.231 release and source provenance authority,"P1-U00, P1-U01",1,Supply-Chain Security Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/v1.231-provenance-policy.json; docs/adr/ADR-P1U-NAUTILUS-1.231-SOURCE-AUTHORITY.md; scripts/verify_nautilus_release_provenance.py; tests/nautilus_upgrade/test_release_provenance.py; docs/implementation/p1-real-nautilus/upgrade/provenance-evidence.md,"Mutation tests for tag object, commit, source SHA, release manifest or attestation digest fail closed.; Offline verification succeeds from a fully populated private cache and makes no network call.; Present-but-invalid provenance is failure; only absent external cache may be classified `DEFERRED`.; One primary source authority is approved in ADR with a separately verified cross-check.; Schema 7 fields are specified before implementation in shared verifier code.; No candidate bytes are committed to the repository.",sec(p1u): pin Nautilus 1.231 release provenance
P1-U03,MU1 — Supply-chain rebaseline,"Refresh sealed Rust, build-wheel and runtime dependency policies for v1.231",P1-U02,2,Hermetic Build and Toolchain Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/candidates/v1.231/engine-build-policy.json; engines/nautilus/candidates/v1.231/input-cache-policy.json; engines/nautilus/candidates/v1.231/toolchain-inputs.json; engines/nautilus/candidates/v1.231/wheel-cache-policy.json; engines/nautilus/candidates/v1.231/runtime-dependency-policy.json; scripts/prepare_nautilus_toolchain.py only where generic capability is missing; scripts/write_nautilus_toolchain_inputs.py; scripts/prepare_nautilus_input_cache.py only where generic capability is missing; scripts/prepare_nautilus_wheel_cache.py only where generic capability is missing; tests/nautilus_upgrade/test_v1231_toolchain_policy.py,"Policy tests reject Rust 1.95, Cython 3.2.4, mutable wheels, missing tzdata, extra wheels, wrong CPython tags and dependency versions outside the resolved closure.; Offline cache verification uses no package index or package installer.; Two independent manifest generations from the same bytes are byte-identical.; Candidate engine-build, rollback engine-build and native-guard toolchains can coexist without path collision or authority confusion.; Every build/runtime dependency is exact and hash-bound.; No ambient rustup, global compiler, pip cache or site-packages can satisfy a missing candidate input.",build(p1u): define sealed Nautilus 1.231 toolchain
P1-U04,MU2 — Candidate build,Build and attest a side-by-side sealed v1.231 candidate closure,P1-U03,3,Runtime Isolation and Closure Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,scripts/build_nautilus_engine.py; scripts/materialize_nautilus_runtime_closure.py; services/job_worker/nautilus_closure.py; services/job_worker/engine_spawn.py only for schema-7 generic validation; tests/nautilus_upgrade/test_v1231_candidate_build.py; tests/nautilus_upgrade/test_v1231_closure_schema7.py; docs/implementation/p1-real-nautilus/upgrade/candidate-build-evidence.md,"No network syscall or writable host path is available during build/runtime materialization.; Schema-7 verifier rejects wrong runtime family, tag object, commit, source digest, dependency policy, native guard, file inventory and unexpected wheel.; The v1.227 closure still verifies unchanged.; Candidate closure exists beside rollback and is not active by default.; Candidate manifest is fully provenance-bound and externally reproducible.; No central verifier accepts a version range or 'latest' alias.",build(p1u): produce sealed Nautilus 1.231 candidate
P1-U05,MU3 — Compatibility qualification,Run the complete CPython 3.12 import and direct API compatibility probe,"P1-U01, P1-U04",4,Nautilus Native API Compatibility Engineer,gpt-5.6-terra,high,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,tests/nautilus_upgrade/test_v1231_import_probe.py; tests/nautilus_upgrade/test_v1231_api_contract.py; tests/fixtures/nautilus_upgrade/v1.231-api-probe.json; engines/nautilus/launcher/nautilus_v1231_probe.py; docs/implementation/p1-real-nautilus/upgrade/api-probe-evidence.md,"The probe emits one canonical bounded record and no ambient path information.; Delete or rename each required symbol in a fixture module and prove the generated contract test fails.; The candidate imports only from the mounted closure; root/site/user packages cannot satisfy imports.; Every direct API entry is `PASS`, or the program stops with an explicit adaptation task amendment.; No unexplained signature or callback drift remains.; The probe itself grants no production or network authority.",test(p1u): qualify Nautilus 1.231 direct APIs
P1-U06,MU3 — Compatibility qualification,Execute the v1.228-to-v1.231 backtest and accounting regression campaign,"P1-U04, P1-U05",4,Backtest and Accounting Regression Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,tests/nautilus_upgrade/regressions/**; scripts/qualify_nautilus_v1231_regressions.py; docs/implementation/p1-real-nautilus/upgrade/release-regression-matrix.json; docs/implementation/p1-real-nautilus/upgrade/release-regression-evidence.md,"Every relevant release item has a scenario, an explicit `NOT_USED`, or a documented upstream-only boundary.; Campaign fails on skip, xfail, missing evidence or duplicate scenario ID.; All money/price/quantity comparisons are exact Decimal/canonical string comparisons, never tolerances over float.; No candidate panic, duplicate accounting fact or unexplained PnL drift.; P1 long/flat single-currency invariants remain strict despite broader regression fixtures.; Any upstream defect discovered is recorded as a blocker or version-pinned local patch with independent review; it is not silently masked.",test(p1u): qualify Nautilus 1.231 regression fixes
P1-U07,MU4 — Promotion qualification,Dual-run v1.227 and v1.231 and approve the semantic drift ledger,"P1-U05, P1-U06",5,Determinism and Semantic Parity Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,tests/nautilus_upgrade/test_dual_runtime_semantic_parity.py; scripts/compare_nautilus_runtime_versions.py; docs/implementation/p1-real-nautilus/upgrade/approved-drift-ledger.json; docs/implementation/p1-real-nautilus/upgrade/dual-run-evidence.md,"Mutation tests prove the comparator detects changed fill price, quantity, fee, event order, PnL, account balance, count and error class.; The approved-drift ledger is canonical, versioned and empty of `UNEXPLAINED_BLOCKER` before promotion.; Rollback and candidate execution occur in separate closures/processes with no shared writable state.; Candidate business semantics are equal or improved with explicit evidence.; No approval is based only on aggregate completion counters.; Three candidate runs are deterministic at the semantic layer.",test(p1u): compare Nautilus 1.227 and 1.231 semantics
P1-U08,MU4 — Promotion qualification,Promote v1.231 as the P1 baseline and retain v1.227 rollback authority,P1-U07,6,Engine Baseline Promotion Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/README.md; engines/nautilus/engine-build-policy.json; engines/nautilus/input-cache-policy.json; engines/nautilus/toolchain-inputs.json; engines/nautilus/wheel-cache-policy.json; engines/nautilus/runtime-closure-policy.json; engines/nautilus/paper-compatibility-runtime-closure-policy.json; services/job_worker/nautilus_closure.py; services/job_worker/engine_spawn.py only as required by schema 7; tests/nautilus_upgrade/test_v1231_promotion.py; docs/implementation/p1-real-nautilus/upgrade/P1-U-FINAL-REVIEW.md; Makefile; CI workflow only for the reviewed candidate lane,"A stale 1.227 closure presented to the active v1.231 profile fails with a stable version/provenance reason.; The explicit rollback verifier still accepts only the exact retained 1.227 closure.; No version range, branch name, moving tag or ambient path can select the engine.; Program verdict is `PROMOTE_1_231` with no unresolved blocker.; All existing engine qualification tests remain green or have separately approved evidence-based updates.; P1 implementation tasks now depend on this accepted promotion SHA.",build(p1u): promote Nautilus 1.231 P1 baseline
P1-00,M0 — Program bootstrap,Pin the promoted v1.231 P1 baseline and create the implementation worktree topology,P1-U08,7,Integration Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,docs/superpowers/plans/2026-08-16-p1-real-nautilus-v1.231-engine-vertical-slice.md; docs/implementation/p1-real-nautilus/baseline.md; .gitignore only if worktree directory policy requires it,"`git status --short` is empty and `git rev-parse HEAD` equals the recorded baseline.; `make check-p0-baseline` and `make check-p0-maintainability` pass.; `make ci-portable NONINTERACTIVE=1` passes, or a pre-existing authority-only limitation is recorded without reclassification.",docs(p1): pin real Nautilus program baseline
